# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
24

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
BODY,Fuselage,0,XYNKWOOOHR,0,0,0,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,31,17
# x,y,z,u,w
4.281112326892143827e+00, -1.065928880947383028e+00, -1.232108880947383245e+00, 1.399999999999999911e+00, 1.500000000000000000e+00
4.281112326892143827e+00, -1.388981340570734968e+00, -7.282260630393293521e-01, 1.399999999999999911e+00, 1.750000000000000000e+00
4.281112326892143827e+00, -1.507267347148123271e+00, -7.400000000000009348e-02, 1.399999999999999911e+00, 2.000000000000000000e+00
4.281112326892143827e+00, -1.427673840570734987e+00, 5.802260630393292207e-01, 1.399999999999999911e+00, 2.250000000000000000e+00
4.281112326892143827e+00, -1.169108880947383078e+00, 1.084108880947382891e+00, 1.399999999999999911e+00, 2.500000000000000000e+00
4.281112326892143827e+00, -7.023510630393292598e-01, 1.407298840570734733e+00, 1.399999999999999911e+00, 2.750000000000000000e+00
4.281112326892143827e+00, 0.000000000000000000e+00, 1.521267347148123283e+00, 1.399999999999999911e+00, 3.000000000000000000e+00
4.281112326892143827e+00, 7.023510630393292598e-01, 1.407298840570734733e+00, 1.399999999999999911e+00, 3.250000000000000000e+00
4.281112326892143827e+00, 1.169108880947383078e+00, 1.084108880947382891e+00, 1.399999999999999911e+00, 3.500000000000000000e+00
4.281112326892143827e+00, 1.427673840570734987e+00, 5.802260630393292207e-01, 1.399999999999999911e+00, 3.750000000000000000e+00
4.281112326892143827e+00, 1.507267347148123271e+00, -7.400000000000006573e-02, 1.399999999999999911e+00, 4.000000000000000000e+00
4.927593466663455324e+00, 1.628178231432082512e+00, 7.400000000000006573e-02, 1.600000000000000089e+00, 0.000000000000000000e+00
4.927593466663455324e+00, 1.500448130348550180e+00, -6.849084602637327546e-01, 1.600000000000000089e+00, 2.500000000000000000e-01
4.927593466663456212e+00, 1.151680773879748987e+00, -1.247375773879748628e+00, 1.600000000000000089e+00, 5.000000000000000000e-01
4.927593466663455324e+00, 6.338140852637329514e-01, -1.596396255348549786e+00, 1.600000000000000089e+00, 7.500000000000000000e-01
4.927593466663455324e+00, -1.065814103640149839e-17, -1.716178231432082146e+00, 1.600000000000000089e+00, 1.000000000000000000e+00
4.927593466663455324e+00, -6.338140852637328404e-01, -1.596396255348549786e+00, 1.600000000000000089e+00, 1.250000000000000000e+00
4.927593466663455324e+00, -1.151680773879748765e+00, -1.247375773879748628e+00, 1.600000000000000089e+00, 1.500000000000000000e+00
4.927593466663455324e+00, -1.500448130348550180e+00, -6.849084602637328656e-01, 1.600000000000000089e+00, 1.750000000000000000e+00
4.927593466663456212e+00, -1.628178231432082512e+00, 7.400000000000003797e-02, 1.600000000000000089e+00, 2.000000000000000000e+00
4.927593466663455324e+00, -1.571677505348550108e+00, 8.329084602637328860e-01, 1.600000000000000089e+00, 2.250000000000000000e+00
4.927593466663455324e+00, -1.341625773879748795e+00, 1.395375773879748982e+00, 1.600000000000000089e+00, 2.500000000000000000e+00
